Component: DNA-directed RNA polymerase II, holoenzyme/16591	/CCR4/YAL021C/S000000019/ORF|Verified/|/ROX3/YBL093C/S000000189/ORF|Verified/|/RPB5/YBR154C/S000000358/ORF|Verified/|/MED8/YBR193C/S000000397/ORF|Verified/|/TAF5/YBR198C/S000000402/ORF|Verified/|/ABD1/YBR236C/S000000440/ORF|Verified/|/SRB6/YBR253W/S000000457/ORF|Verified/|/PAF1/YBR279W/S000000483/ORF|Verified/|/TAF2/YCR042C/S000000638/ORF|Verified/|/MED2/YDL005C/S000002163/ORF|Verified/|/KIN28/YDL108W/S000002266/ORF|Verified/|/IWR1/YDL115C/S000002273/ORF|Verified/|/RPO21/YDL140C/S000002299/ORF|Verified/|/TFB5/YDR079C-A/S000007603/ORF|Verified/|/HPR1/YDR138W/S000002545/ORF|Verified/|/TAF12/YDR145W/S000002552/ORF|Verified/|/TAF10/YDR167W/S000002574/ORF|Verified/|/SRB7/YDR308C/S000002716/ORF|Verified/|/TFB1/YDR311W/S000002719/ORF|Verified/|/RPB7/YDR404C/S000002812/ORF|Verified/|/TFB3/YDR460W/S000002868/ORF|Verified/|/SRB4/YER022W/S000000824/ORF|Verified/|/SPT15/YER148W/S000000950/ORF|Verified/|/RAD3/YER171W/S000000973/ORF|Verified/|/PGD1/YGL025C/S000002993/ORF|Verified/|/RPB9/YGL070C/S000003038/ORF|Verified/|/TAF6/YGL112C/S000003080/ORF|Verified/|/SOH1/YGL127C/S000003095/ORF|Verified/|/RTF1/YGL244W/S000003213/ORF|Verified/|/TFG2/YGR005C/S000003237/ORF|Verified/|/ASK10/YGR097W/S000003329/ORF|Verified/|/SRB5/YGR104C/S000003336/ORF|Verified/|/TFG1/YGR186W/S000003418/ORF|Verified/|/TAF1/YGR274C/S000003506/ORF|Verified/|/SRB2/YHR041C/S000001083/ORF|Verified/|/MED6/YHR058C/S000001100/ORF|Verified/|/RPC10/YHR143W-A/S000001185/ORF|Verified/|/RPB3/YIL021W/S000001283/ORF|Verified/|/SSL2/YIL143C/S000001405/ORF|Verified/|/RPB4/YJL140W/S000003676/ORF|Verified/|/NPA3/YJR072C/S000003833/ORF|Verified/|/TFA1/YKL028W/S000001511/ORF|Verified/|/TOA2/YKL058W/S000001541/ORF|Verified/|/TFA2/YKR062W/S000001770/ORF|Verified/|/SSL1/YLR005W/S000003995/ORF|Verified/|/RGR1/YLR071C/S000004061/ORF|Verified/|/CDC73/YLR418C/S000004410/ORF|Verified/|/TAF11/YML015C/S000004477/ORF|Verified/|/TAF13/YML098W/S000004564/ORF|Verified/|/TAF8/YML114C/S000004582/ORF|Verified/|/TAF4/YMR005W/S000004607/ORF|Verified/|/MED11/YMR112C/S000004718/ORF|Verified/|/TAF7/YMR227C/S000004840/ORF|Verified/|/TAF9/YMR236W/S000004849/ORF|Verified/|/SIN4/YNL236W/S000005180/ORF|Verified/|/CSE2/YNR010W/S000005293/ORF|Verified/|/RPB11/YOL005C/S000005365/ORF|Verified/|/GAL11/YOL051W/S000005411/ORF|Verified/|/MED7/YOL135C/S000005495/ORF|Verified/|/CTR9/YOL145C/S000005505/ORF|Verified/|/LEO1/YOR123C/S000005649/ORF|Verified/|/RPB2/YOR151C/S000005677/ORF|Verified/|/MED4/YOR174W/S000005700/ORF|Verified/|/TOA1/YOR194C/S000005720/ORF|Verified/|/RPB10/YOR210W/S000005736/ORF|Verified/|/RPB8/YOR224C/S000005750/ORF|Verified/|/TFB6/YOR352W/S000005879/ORF|Verified/|/TAF3/YPL011C/S000005932/ORF|Verified/|/TFB2/YPL122C/S000006043/ORF|Verified/|/TAF14/YPL129W/S000006050/ORF|Verified/|/CCL1/YPR025C/S000006229/ORF|Verified/|/TFB4/YPR056W/S000006260/ORF|Verified/|/MED1/YPR070W/S000006274/ORF|Verified/|/NUT2/YPR168W/S000006372/ORF|Verified/|/RPO26/YPR187W/S000006391/ORF|Verified/
Component: DNA-directed RNA polymerase III complex/5666	/RPB5/YBR154C/S000000358/ORF|Verified/|/RPC53/YDL150W/S000002309/ORF|Verified/|/RPC11/YDR045C/S000002452/ORF|Verified/|/RPC10/YHR143W-A/S000001185/ORF|Verified/|/RPC17/YJL011C/S000003548/ORF|Verified/|/RPC25/YKL144C/S000001627/ORF|Verified/|/RPC37/YKR025W/S000001733/ORF|Verified/|/RPC19/YNL113W/S000005057/ORF|Verified/|/RPC31/YNL151C/S000005095/ORF|Verified/|/RPC34/YNR003C/S000005286/ORF|Verified/|/RPO31/YOR116C/S000005642/ORF|Verified/|/RET1/YOR207C/S000005733/ORF|Verified/|/RPB10/YOR210W/S000005736/ORF|Verified/|/RPB8/YOR224C/S000005750/ORF|Verified/|/RPC40/YPR110C/S000006314/ORF|Verified/|/RPO26/YPR187W/S000006391/ORF|Verified/|/RPC82/YPR190C/S000006394/ORF|Verified/
Component: DSIF complex/32044	/SPT4/YGR063C/S000003295/ORF|Verified/|/SPT5/YML010W/S000004470/ORF|Verified/
Component: DUBm complex/71819	/SUS1/YBR111W-A/S000028510/ORF|Verified/|/SGF73/YGL066W/S000003034/ORF|Verified/|/UBP8/YMR223W/S000004836/ORF|Verified/|/SGF11/YPL047W/S000005968/ORF|Verified/
Component: Dbf4-dependent protein kinase complex/31431	/CDC7/YDL017W/S000002175/ORF|Verified/|/DBF4/YDR052C/S000002459/ORF|Verified/
Component: Doa10p ubiquitin ligase complex/837	/NPL4/YBR170C/S000000374/ORF|Verified/|/CDC48/YDL126C/S000002284/ORF|Verified/|/DFM1/YDR411C/S000002819/ORF|Verified/|/UFD1/YGR048W/S000003280/ORF|Verified/|/SSM4/YIL030C/S000001292/ORF|Verified/|/UBX2/YML013W/S000004475/ORF|Verified/|/UBC7/YMR022W/S000004624/ORF|Verified/|/CUE1/YMR264W/S000004877/ORF|Verified/
Component: Dom34-Hbs1 complex/1990533	/HBS1/YKR084C/S000001792/ORF|Verified/|/DOM34/YNL001W/S000004946/ORF|Verified/
Component: Dsc E3 ubiquitin ligase complex/44695	/UBX3/YDL091C/S000002249/ORF|Verified/|/TUL1/YKL034W/S000001517/ORF|Verified/|/DSC2/YOL073C/S000005434/ORF|Verified/|/DSC3/YOR223W/S000005749/ORF|Verified/
Component: Dsl1p complex/70939	/TIP20/YGL145W/S000003113/ORF|Verified/|/SEC39/YLR440C/S000004432/ORF|Verified/|/DSL1/YNL258C/S000005202/ORF|Verified/
Component: EGO complex/34448	/SLM4/YBR077C/S000000281/ORF|Verified/|/GTR2/YGR163W/S000003395/ORF|Verified/|/LTV1/YKL143W/S000001626/ORF|Verified/|/MEH1/YKR007W/S000001715/ORF|Verified/|/GTR1/YML121W/S000004590/ORF|Verified/
